SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,Unknown,01112,4500
,,Unknown,01113,38750
,,Unknown,01114,35250
,,Unknown,01119,3000
,,Unknown,01121,2500
,,Unknown,01123,2250
,,Unknown,01124,0
,,Unknown,01125,1250
,,Unknown,01129,8250
,,Unknown,01131,250
,,Unknown,01132,5500
,,Unknown,01133,25250
,,Unknown,01141,1250
,,Unknown,01151,500
,,Unknown,01152,1500
,,Unknown,01153,33000
,,Unknown,02100,5000
,,Unknown,02111,7750
,,Unknown,02121,3000
,,Unknown,02122,4000
,,Unknown,02123,2500
,,Unknown,02131,20250
,,Unknown,02211,10750
,,Unknown,02212,3000
,,Unknown,02213,4750
,,Unknown,02361,129000
,,Unknown,02362,15750
,,Unknown,02371,11250
,,Unknown,02372,5500
,,Unknown,02373,21000
,,Unknown,02379,6250
,,Unknown,02381,52750
,,Unknown,02382,88000
,,Unknown,02383,78250
,,Unknown,02389,31250
,,Unknown,03111,2500
,,Unknown,03112,0
,,Unknown,03113,2250
,,Unknown,03114,2250
,,Unknown,03115,2250
,,Unknown,03116,13500
,,Unknown,03117,6000
,,Unknown,03118,19000
,,Unknown,03119,14000
,,Unknown,03121,25750
,,Unknown,03122,0
,,Unknown,03123,500
,,Unknown,03132,6500
,,Unknown,03133,0
,,Unknown,03141,0
,,Unknown,03149,4000
,,Unknown,03151,0
,,Unknown,03152,4250
,,Unknown,03159,0
,,Unknown,03161,0
,,Unknown,03162,0
,,Unknown,03169,0
,,Unknown,03211,31500
,,Unknown,03212,2750
,,Unknown,03219,15500
,,Unknown,03221,32250
,,Unknown,03222,750
,,Unknown,03231,7000
,,Unknown,03241,750
,,Unknown,03251,500
,,Unknown,03252,250
,,Unknown,03253,500
,,Unknown,03254,5500
,,Unknown,03255,500
,,Unknown,03256,10000
,,Unknown,03259,0
,,Unknown,03261,11750
,,Unknown,03262,0
,,Unknown,03271,0
,,Unknown,03272,750
,,Unknown,03273,2500
,,Unknown,03274,750
,,Unknown,03279,3000
